City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Miranda De Ebro,ES,42.6865,-2.947,45.0,76,75,11.5,broken clouds,2021-01-31 01:22:34
1,Rikitea,PF,-23.1203,-134.9692,79.5,70,0,11.34,clear sky,2021-01-31 01:22:35
2,Vaini,TO,-21.2,-175.2,86.0,79,75,13.8,broken clouds,2021-01-31 01:20:19
3,Barroquinha,BR,-3.0189,-41.1361,76.95,81,100,5.68,overcast clouds,2021-01-31 01:22:35
4,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,8.05,light rain,2021-01-31 01:07:56
5,Jamestown,US,42.097,-79.2353,17.6,79,1,3.13,clear sky,2021-01-31 01:22:12
6,Kapaa,US,22.0752,-159.319,77.0,69,75,14.97,light rain,2021-01-31 01:22:35
7,Norman Wells,CA,65.282,-126.8329,-31.0,75,75,3.31,broken clouds,2021-01-31 01:22:35
8,Ribeira Grande,PT,38.5167,-28.7,63.16,91,97,22.06,overcast clouds,2021-01-31 01:22:35
9,Faanui,PF,-16.4833,-151.75,81.75,70,31,8.03,scattered clouds,2021-01-31 01:22:36
10,Saint Anthony,US,45.0205,-93.218,32.0,80,90,6.91,light snow,2021-01-31 01:22:36
11,Albany,US,42.6001,-73.9662,17.01,60,5,7.74,clear sky,2021-01-31 01:18:21
12,Ushuaia,AR,-54.8,-68.3,50.0,66,20,24.16,few clouds,2021-01-31 01:18:08
13,Mataura,NZ,-46.1927,168.8643,71.98,37,96,3.56,overcast clouds,2021-01-31 01:22:37
14,Maralal,KE,1.0968,36.698,54.75,62,0,5.64,clear sky,2021-01-31 01:22:37
15,Kavaratti,IN,10.5669,72.642,80.78,72,4,9.06,clear sky,2021-01-31 01:19:11
16,Qiyang,CN,26.5911,111.8474,52.0,65,100,1.88,overcast clouds,2021-01-31 01:22:37
17,Ulladulla,AU,-35.35,150.4667,68.0,83,90,10.36,overcast clouds,2021-01-31 01:22:37
18,Oros,BR,-6.2444,-38.9136,78.03,65,100,1.5,light rain,2021-01-31 01:22:38
19,Puerto Ayora,EC,-0.7393,-90.3518,78.01,89,51,5.01,broken clouds,2021-01-31 01:22:38
20,Denpasar,ID,-8.65,115.2167,84.2,79,40,12.66,scattered clouds,2021-01-31 01:17:41
21,Port Alfred,ZA,-33.5906,26.891,63.0,91,0,0.89,clear sky,2021-01-31 01:22:38
22,Tautira,PF,-17.7333,-149.15,84.2,65,75,6.91,broken clouds,2021-01-31 01:12:59
23,Hithadhoo,MV,-0.6,73.0833,81.68,79,24,14.23,few clouds,2021-01-31 01:21:10
24,Saskylakh,RU,71.9167,114.0833,-33.81,82,100,11.7,overcast clouds,2021-01-31 01:22:38
25,Cape Town,ZA,-33.9258,18.4232,70.0,77,75,5.75,broken clouds,2021-01-31 01:22:29
26,Chuy,UY,-33.6971,-53.4616,71.06,89,100,11.1,heavy intensity rain,2021-01-31 01:22:39
27,Mar Del Plata,AR,-38.0023,-57.5575,62.6,55,75,20.71,light rain,2021-01-31 01:20:39
28,Adrar,MR,20.5022,-10.0711,65.71,25,60,7.56,broken clouds,2021-01-31 01:12:43
29,Manzhouli,CN,49.6,117.4333,-16.67,87,94,4.56,overcast clouds,2021-01-31 01:22:39
30,Bluff,NZ,-46.6,168.3333,58.21,68,98,7.4,overcast clouds,2021-01-31 01:22:39
31,Mahebourg,MU,-20.4081,57.7,78.8,83,40,6.91,scattered clouds,2021-01-31 01:12:41
32,Pisco,PE,-13.7,-76.2167,71.6,73,0,13.8,clear sky,2021-01-31 01:22:40
33,Port Elizabeth,ZA,-33.918,25.5701,62.6,88,0,6.91,clear sky,2021-01-31 01:22:40
34,Sibolga,ID,1.7427,98.7792,77.09,73,41,3.62,scattered clouds,2021-01-31 01:09:20
35,Torbay,CA,47.6666,-52.7314,28.99,100,90,8.05,overcast clouds,2021-01-31 01:22:40
36,Korla,CN,41.7597,86.1469,18.36,85,0,4.14,clear sky,2021-01-31 01:22:41
37,Itumba,TZ,-9.4,33.1833,62.24,87,100,2.53,overcast clouds,2021-01-31 01:22:41
38,Wanning,CN,18.8003,110.3967,70.21,80,54,11.39,broken clouds,2021-01-31 01:13:45
39,Cherskiy,RU,68.75,161.3,-35.3,83,0,0.96,clear sky,2021-01-31 01:22:41
40,Dunedin,NZ,-45.8742,170.5036,62.01,70,100,23.0,overcast clouds,2021-01-31 01:13:52
41,Tavda,RU,58.0425,65.2726,14.13,97,100,3.83,overcast clouds,2021-01-31 01:22:41
42,Cabedelo,BR,-6.9811,-34.8339,77.0,88,20,4.61,few clouds,2021-01-31 01:13:15
43,Neuquen,AR,-38.9516,-68.0591,62.6,72,75,5.75,broken clouds,2021-01-31 01:10:11
44,Hilo,US,19.7297,-155.09,80.6,57,75,8.05,light rain,2021-01-31 01:22:42
45,Hami,CN,42.8,93.45,20.75,85,0,5.01,clear sky,2021-01-31 01:19:26
46,Bengkulu,ID,-3.8004,102.2655,74.43,93,100,6.38,overcast clouds,2021-01-31 01:21:16
47,Sioux Lookout,CA,50.1001,-91.917,23.0,86,90,5.75,light snow,2021-01-31 01:22:42
48,West Bend,US,43.4253,-88.1834,30.99,93,90,12.66,light snow,2021-01-31 01:22:42
49,Kruisfontein,ZA,-34.0033,24.7314,59.0,90,0,1.01,clear sky,2021-01-31 01:22:43
50,Usvyaty,RU,55.7456,30.7533,19.71,98,100,4.59,overcast clouds,2021-01-31 01:22:43
51,Victoria,HK,22.2855,114.1577,64.0,62,0,15.26,clear sky,2021-01-31 01:12:04
52,Marsh Harbour,BS,26.5412,-77.0636,66.49,63,100,13.82,overcast clouds,2021-01-31 01:22:43
53,Terbuny,RU,52.1389,38.2789,34.41,100,100,21.47,snow,2021-01-31 01:22:43
54,Yellowknife,CA,62.456,-114.3525,-11.99,77,20,3.44,few clouds,2021-01-31 01:22:02
55,Whitehorse,CA,60.7161,-135.0538,-4.0,77,75,3.44,light snow,2021-01-31 01:22:43
56,Atuona,PF,-9.8,-139.0333,79.25,73,62,17.56,broken clouds,2021-01-31 01:20:04
57,Chiang Khong,TH,20.2613,100.4046,66.2,100,90,2.3,fog,2021-01-31 01:22:44
58,Baghdad,IQ,33.3406,44.4009,44.6,81,0,5.75,clear sky,2021-01-31 01:18:23
59,Hermanus,ZA,-34.4187,19.2345,64.99,86,0,9.35,clear sky,2021-01-31 01:22:44
60,Mount Gambier,AU,-37.8333,140.7667,69.8,49,90,12.66,overcast clouds,2021-01-31 01:20:34
61,Rawson,AR,-43.3002,-65.1023,60.69,59,6,16.87,clear sky,2021-01-31 01:12:51
62,Kodiak,US,57.79,-152.4072,32.0,55,1,19.57,clear sky,2021-01-31 01:22:44
63,Barrow,US,71.2906,-156.7887,-16.6,76,90,4.61,haze,2021-01-31 01:22:45
64,Constitucion,CL,-35.3333,-72.4167,59.59,93,34,8.46,scattered clouds,2021-01-31 01:22:45
65,Kavieng,PG,-2.5744,150.7967,83.41,71,97,14.05,overcast clouds,2021-01-31 01:22:45
66,Sylacauga,US,33.1732,-86.2516,53.6,50,75,8.05,broken clouds,2021-01-31 01:22:45
67,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,6.91,scattered clouds,2021-01-31 01:22:45
68,Hobart,AU,-42.8794,147.3294,75.99,45,40,11.5,scattered clouds,2021-01-31 01:20:29
69,Karratha,AU,-20.7377,116.8463,89.56,52,100,4.88,overcast clouds,2021-01-31 01:13:35
70,Kahului,US,20.8947,-156.47,78.8,57,40,18.41,scattered clouds,2021-01-31 01:10:09
71,Povenets,RU,62.8487,34.8262,14.4,97,92,5.41,overcast clouds,2021-01-31 01:22:47
72,Susangerd,IR,31.5608,48.1831,51.24,50,0,4.94,clear sky,2021-01-31 01:22:47
73,Suhbaatar,MN,50.2314,106.2078,-7.85,82,100,4.32,light snow,2021-01-31 01:22:48
74,Punta Arenas,CL,-53.15,-70.9167,50.0,66,0,23.02,clear sky,2021-01-31 01:22:04
75,Cabo San Lucas,MX,22.8909,-109.9124,70.0,77,20,3.44,few clouds,2021-01-31 01:20:44
76,Atar,MR,20.5169,-13.0499,66.67,23,0,7.99,clear sky,2021-01-31 01:22:48
77,Lebu,CL,-37.6167,-73.65,56.5,85,1,12.01,clear sky,2021-01-31 01:22:48
78,Inhambane,MZ,-23.865,35.3833,78.12,80,0,5.64,clear sky,2021-01-31 01:22:48
79,Lac Du Bonnet,CA,50.2536,-96.0612,24.01,100,100,2.48,overcast clouds,2021-01-31 01:22:48
80,Fernie,CA,49.5,-115.0687,32.0,69,86,4.61,overcast clouds,2021-01-31 01:22:48
81,Taksimo,RU,56.3444,114.8794,-28.5,76,100,0.2,overcast clouds,2021-01-31 01:22:49
82,Busselton,AU,-33.65,115.3333,80.01,51,0,1.99,clear sky,2021-01-31 01:22:49
83,Belaya Gora,RU,68.5333,146.4167,-27.9,85,100,2.53,overcast clouds,2021-01-31 01:22:49
84,Priladozhskiy,RU,59.85,31.4833,25.0,77,81,6.06,snow,2021-01-31 01:22:49
85,Yabrud,SY,33.9674,36.6574,46.4,71,40,16.11,scattered clouds,2021-01-31 01:22:49
86,Barra Patuca,HN,15.8,-84.2833,75.72,85,83,9.46,broken clouds,2021-01-31 01:22:49
87,Ponta Do Sol,PT,32.6667,-17.1,59.0,74,45,3.0,scattered clouds,2021-01-31 01:22:50
88,Marawi,PH,7.9986,124.2928,80.01,82,76,4.0,broken clouds,2021-01-31 01:22:51
89,San Cristobal,VE,7.7669,-72.225,65.71,72,84,1.39,broken clouds,2021-01-31 01:20:09
90,Itambe,BR,-15.245,-40.6244,68.05,93,5,2.24,clear sky,2021-01-31 01:22:51
91,Grootfontein,NA,-19.5667,18.1167,66.2,94,100,4.61,overcast clouds,2021-01-31 01:22:51
92,Butaritari,KI,3.0707,172.7902,81.23,78,53,18.37,broken clouds,2021-01-31 01:22:51
93,Thunder Bay,CA,48.4001,-89.3168,28.4,80,90,11.5,light snow,2021-01-31 01:22:41
94,Sabang,ID,5.8933,95.3214,80.8,78,62,20.67,broken clouds,2021-01-31 01:20:29
95,Longyearbyen,SJ,78.2186,15.6401,-5.8,65,20,19.57,few clouds,2021-01-31 01:22:52
96,Bredasdorp,ZA,-34.5322,20.0403,64.99,86,0,6.22,clear sky,2021-01-31 01:22:52
97,Khorramshahr,IR,30.4397,48.1664,48.2,76,0,4.16,clear sky,2021-01-31 01:22:52
98,Pangnirtung,CA,66.1451,-65.7125,-8.37,75,88,2.39,overcast clouds,2021-01-31 01:11:10
99,Yumbe,UG,3.4651,31.2469,70.72,31,3,3.31,clear sky,2021-01-31 01:22:53
100,Bay City,US,43.5945,-83.8889,26.6,68,90,11.5,overcast clouds,2021-01-31 01:18:21
101,Iqaluit,CA,63.7506,-68.5145,-7.01,71,1,18.41,clear sky,2021-01-31 01:22:53
102,Flinders,AU,-34.5833,150.8552,68.0,95,100,1.01,overcast clouds,2021-01-31 01:13:45
103,Khash,IR,28.2211,61.2158,47.68,50,4,6.31,clear sky,2021-01-31 01:08:27
104,San Policarpo,PH,12.1791,125.5072,79.88,77,100,20.07,overcast clouds,2021-01-31 01:13:11
105,Ingham,US,42.6,-84.3833,26.6,63,90,10.36,overcast clouds,2021-01-31 01:22:53
106,Durazno,UY,-33.4131,-56.5006,63.09,83,100,26.35,overcast clouds,2021-01-31 01:13:42
107,Thompson,CA,55.7435,-97.8558,14.0,92,90,2.3,light snow,2021-01-31 01:13:21
108,Xining,CN,36.6167,101.7667,12.63,75,0,2.95,clear sky,2021-01-31 01:18:01
109,Georgetown,MY,5.4112,100.3354,81.0,69,20,3.44,few clouds,2021-01-31 01:22:54
110,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,1,26.78,clear sky,2021-01-31 01:20:15
111,Tambovka,RU,50.0969,128.0489,-29.2,68,20,5.7,few clouds,2021-01-31 01:22:54
112,Port Lincoln,AU,-34.7333,135.8667,66.67,63,7,14.32,clear sky,2021-01-31 01:13:02
113,Goderich,CA,43.7501,-81.7165,12.2,85,100,3.44,overcast clouds,2021-01-31 01:13:33
114,Oranjemund,NA,-28.55,16.4333,60.39,91,2,7.47,clear sky,2021-01-31 01:13:03
115,Carutapera,BR,-1.195,-46.02,78.49,83,100,7.14,overcast clouds,2021-01-31 01:22:16
116,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,74,40,5.75,scattered clouds,2021-01-31 01:19:25
117,Saint George,US,37.1041,-113.5841,48.2,53,1,1.41,clear sky,2021-01-31 01:21:01
118,Songkhla,TH,6.8333,100.6667,77.0,88,20,2.3,few clouds,2021-01-31 01:22:55
119,Sinnamary,GF,5.3833,-52.95,77.99,86,100,15.41,overcast clouds,2021-01-31 01:21:28
120,East London,ZA,-33.0153,27.9116,70.56,85,69,3.49,broken clouds,2021-01-31 01:22:55
121,Surgut,RU,61.25,73.4167,-9.4,84,90,11.18,light snow,2021-01-31 01:22:55
122,Deputatskiy,RU,69.3,139.9,-25.44,88,99,1.57,overcast clouds,2021-01-31 01:22:56
123,Nizhniy Kuranakh,RU,58.8353,125.4869,-37.43,78,96,0.67,overcast clouds,2021-01-31 01:22:56
124,Veraval,IN,20.9,70.3667,65.21,31,0,13.15,clear sky,2021-01-31 01:13:17
125,Nakhon Phanom,TH,17.3333,104.4167,68.0,83,0,4.16,mist,2021-01-31 01:22:56
126,Jilib,SO,0.4883,42.7854,67.93,94,0,4.68,clear sky,2021-01-31 01:22:56
127,Henties Bay,NA,-22.116,14.2845,66.99,84,35,4.0,scattered clouds,2021-01-31 01:13:52
128,Hukuntsi,BW,-24.0,21.75,74.37,63,100,7.05,overcast clouds,2021-01-31 01:22:57
129,Castro,BR,-24.7911,-50.0119,65.68,97,100,5.99,overcast clouds,2021-01-31 01:20:33
130,Klaksvik,FO,62.2266,-6.589,32.0,69,40,26.46,scattered clouds,2021-01-31 01:20:14
131,Lokoja,NG,7.8024,6.743,77.58,23,0,0.94,clear sky,2021-01-31 01:13:38
132,Tiksi,RU,71.6872,128.8694,-27.49,86,100,4.68,overcast clouds,2021-01-31 01:22:57
133,Inirida,CO,3.8653,-67.9239,78.28,75,54,2.53,broken clouds,2021-01-31 01:22:57
134,Suffolk,US,40.8668,-72.7996,27.0,53,1,13.96,clear sky,2021-01-31 01:20:04
135,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,40,6.91,scattered clouds,2021-01-31 01:13:15
136,Correntina,BR,-13.3433,-44.6367,73.18,56,0,2.59,clear sky,2021-01-31 01:22:59
137,Mount Isa,AU,-20.7333,139.5,98.6,25,97,6.91,overcast clouds,2021-01-31 01:12:59
138,Dikson,RU,73.5069,80.5464,-34.28,80,0,6.85,clear sky,2021-01-31 01:20:16
139,Champerico,GT,14.3,-91.9167,84.2,65,40,9.22,scattered clouds,2021-01-31 01:23:00
140,Singapore,SG,1.2897,103.8501,80.6,74,75,9.22,broken clouds,2021-01-31 01:20:03
141,Tessalit,ML,20.1986,1.0114,61.95,24,0,11.3,clear sky,2021-01-31 01:23:00
142,Pauini,BR,-7.7136,-66.9764,75.22,97,100,1.57,overcast clouds,2021-01-31 01:23:01
143,Nueva Gerona,CU,21.8833,-82.8,72.39,69,40,12.86,scattered clouds,2021-01-31 01:23:01
144,Clyde River,CA,70.4692,-68.5914,-4.0,84,90,2.3,overcast clouds,2021-01-31 01:23:01
145,Maniitsoq,GL,65.4167,-52.9,12.0,78,0,7.72,clear sky,2021-01-31 01:22:36
146,Bud,US,39.447,-86.1758,30.99,97,100,16.26,moderate rain,2021-01-31 01:13:11
147,Severnoye,RU,56.3491,78.3619,-12.24,86,100,10.09,overcast clouds,2021-01-31 01:23:02
148,Talcahuano,CL,-36.7167,-73.1167,59.0,100,0,4.61,clear sky,2021-01-31 01:23:02
149,Chumikan,RU,54.7183,135.315,-16.37,79,1,25.88,clear sky,2021-01-31 01:23:02
150,Ancud,CL,-41.8697,-73.8203,55.99,76,0,5.75,clear sky,2021-01-31 01:19:35
151,Leningradskiy,RU,69.3833,178.4167,-26.9,82,0,3.91,clear sky,2021-01-31 01:23:02
152,Katsuura,JP,35.1333,140.3,48.0,45,20,6.91,few clouds,2021-01-31 01:13:40
153,Qaanaaq,GL,77.484,-69.3632,-5.6,74,98,3.36,overcast clouds,2021-01-31 01:23:03
154,Oruro,BO,-17.9833,-67.15,54.37,42,96,9.19,overcast clouds,2021-01-31 01:23:03
155,Mancio Lima,BR,-7.6142,-72.8958,73.27,93,14,0.56,light rain,2021-01-31 01:23:03
156,Sambava,MG,-14.2667,50.1667,75.88,87,0,5.61,clear sky,2021-01-31 01:23:03
157,Balod,IN,20.73,81.2047,49.05,41,0,5.39,clear sky,2021-01-31 01:23:04
158,Mehamn,NO,71.0357,27.8492,26.6,80,0,8.05,light snow,2021-01-31 01:23:04
159,Harper,LR,4.375,-7.7169,78.73,88,57,9.19,broken clouds,2021-01-31 01:23:04
160,Tongchuan,CN,35.0806,109.0897,37.8,58,100,4.34,overcast clouds,2021-01-31 01:23:04
161,Nortelandia,BR,-14.4547,-56.8028,75.36,83,100,3.15,overcast clouds,2021-01-31 01:23:04
162,Svetlaya,RU,46.5389,138.3297,3.97,80,49,8.57,scattered clouds,2021-01-31 01:23:05
163,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,75,13.8,broken clouds,2021-01-31 01:13:05
164,San Carlos De Bariloche,AR,-41.1456,-71.3082,66.2,42,75,2.3,broken clouds,2021-01-31 01:23:05
165,La Palma,US,33.8464,-118.0467,62.6,67,1,8.05,clear sky,2021-01-31 01:23:05
166,Kondinskoye,RU,59.6481,67.41,14.4,96,100,9.75,overcast clouds,2021-01-31 01:23:05
167,Oussouye,SN,12.485,-16.5469,73.4,73,0,6.91,clear sky,2021-01-31 01:23:06
168,Upernavik,GL,72.7868,-56.1549,-9.13,87,100,6.98,overcast clouds,2021-01-31 01:20:27
169,Kawalu,ID,-7.3817,108.2082,78.4,76,78,2.35,broken clouds,2021-01-31 01:23:06
170,Hofn,IS,64.2539,-15.2082,21.67,83,0,18.61,clear sky,2021-01-31 01:20:25
171,Khatanga,RU,71.9667,102.5,-47.02,78,40,0.72,scattered clouds,2021-01-31 01:23:07
172,Anadyr,RU,64.75,177.4833,-2.2,78,75,22.37,snow,2021-01-31 01:23:07
173,Tabas,IR,33.5959,56.9244,49.26,48,0,4.7,clear sky,2021-01-31 01:23:08
174,Mathbaria,BD,22.2876,89.9593,53.26,43,0,4.74,clear sky,2021-01-31 01:23:08
175,Faro,PT,37.0194,-7.9322,55.4,82,40,12.66,scattered clouds,2021-01-31 01:20:45
176,Padang,ID,-0.9492,100.3543,78.58,74,98,4.14,overcast clouds,2021-01-31 01:23:09
177,Kichmengskiy Gorodok,RU,59.9816,45.7854,18.68,96,100,8.48,overcast clouds,2021-01-31 01:23:10
178,Talnakh,RU,69.4865,88.3972,-31.2,71,0,6.93,clear sky,2021-01-31 01:22:11
179,Banda Aceh,ID,5.5577,95.3222,77.49,78,10,12.46,clear sky,2021-01-31 01:22:55
180,Yakeshi,CN,49.2833,120.7333,-15.99,87,100,4.12,overcast clouds,2021-01-31 01:23:11
181,Pushkinskiye Gory,RU,57.0209,28.9103,21.45,99,92,4.03,light snow,2021-01-31 01:23:11
182,Teknaf,BD,20.8624,92.3058,63.46,62,42,9.01,scattered clouds,2021-01-31 01:23:11
183,Chokwe,MZ,-24.5333,32.9833,76.68,88,0,4.23,clear sky,2021-01-31 01:23:12
184,San Patricio,US,28.017,-97.5169,75.2,83,20,13.8,few clouds,2021-01-31 01:23:12
185,Robertsport,LR,6.7533,-11.3686,79.99,86,0,9.06,clear sky,2021-01-31 01:23:12
186,Alyangula,AU,-13.8483,136.4192,87.8,70,55,9.22,broken clouds,2021-01-31 01:23:12
187,Harqalah,TN,36.0303,10.509,61.0,67,0,3.44,clear sky,2021-01-31 01:23:12
188,Lompoc,US,34.6391,-120.4579,53.6,76,1,4.61,clear sky,2021-01-31 01:23:13
189,Pacific Grove,US,36.6177,-121.9166,54.0,78,99,4.56,overcast clouds,2021-01-31 01:23:13
190,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.17,80,91,7.78,overcast clouds,2021-01-31 01:23:13
191,Urumqi,CN,43.801,87.6005,1.4,85,75,2.24,light snow,2021-01-31 01:23:13
192,Santa Marta,CO,11.2408,-74.199,84.2,54,19,13.8,few clouds,2021-01-31 01:23:13
193,Luderitz,NA,-26.6481,15.1594,65.05,66,0,18.1,clear sky,2021-01-31 01:23:14
194,Kuusamo,FI,65.9667,29.1833,10.4,85,75,1.14,light snow,2021-01-31 01:23:14
195,Viransehir,TR,37.2353,39.7631,39.54,87,100,22.24,light rain,2021-01-31 01:13:14
196,Bairiki,KI,1.3292,172.9752,86.0,70,40,9.22,scattered clouds,2021-01-31 01:23:14
197,Pevek,RU,69.7008,170.3133,-33.68,84,9,2.55,clear sky,2021-01-31 01:21:18
198,Taltal,CL,-25.4,-70.4833,66.72,73,9,5.53,clear sky,2021-01-31 01:13:25
199,Guane,CU,22.2025,-84.0875,66.56,79,29,7.49,scattered clouds,2021-01-31 01:23:15
200,Mogadishu,SO,2.0371,45.3438,74.7,84,16,16.69,few clouds,2021-01-31 01:21:11
201,Terra Santa,BR,-2.1042,-56.4869,78.48,78,97,5.57,overcast clouds,2021-01-31 01:23:15
202,San Ramon,US,37.7799,-121.978,57.99,58,90,8.05,overcast clouds,2021-01-31 01:23:15
203,Manicore,BR,-5.8092,-61.3003,75.2,94,0,2.06,moderate rain,2021-01-31 01:23:15
204,Esqueda,MX,30.7167,-109.5833,52.39,44,0,4.68,clear sky,2021-01-31 01:23:15
205,Meulaboh,ID,4.1363,96.1285,75.97,83,58,4.41,broken clouds,2021-01-31 01:23:16
206,Sakakah,SA,29.9697,40.2064,41.0,60,0,8.05,clear sky,2021-01-31 01:23:16
207,Numata,JP,36.6333,139.05,42.01,50,48,14.0,scattered clouds,2021-01-31 01:23:16
208,Merauke,ID,-8.4667,140.3333,82.83,80,100,14.05,overcast clouds,2021-01-31 01:22:36
209,Tuatapere,NZ,-46.1333,167.6833,66.83,45,100,0.78,overcast clouds,2021-01-31 01:23:16
210,Marshfield,US,44.6689,-90.1718,28.4,74,90,14.97,light snow,2021-01-31 01:23:17
211,Salalah,OM,17.0151,54.0924,66.2,68,0,3.44,clear sky,2021-01-31 01:13:31
212,Skreia,NO,60.65,10.9333,10.99,92,90,3.4,fog,2021-01-31 01:23:17
213,Nikolskoye,RU,59.7035,30.7861,25.0,93,75,4.47,light snow,2021-01-31 01:23:17
214,Carballo,ES,43.213,-8.691,51.01,92,100,1.01,light rain,2021-01-31 01:23:17
215,Clarence Town,AU,-32.5833,151.7833,81.0,74,40,17.27,light rain,2021-01-31 01:13:53
216,Buraydah,SA,26.326,43.975,50.0,66,0,5.75,clear sky,2021-01-31 01:13:33
217,Beringovskiy,RU,63.05,179.3167,7.25,94,100,28.16,snow,2021-01-31 01:20:24
218,Tamboril,DO,19.4854,-70.611,69.8,94,75,5.75,broken clouds,2021-01-31 01:23:18
219,Great Falls,US,47.5002,-111.3008,35.6,50,1,9.22,clear sky,2021-01-31 01:18:29
220,Soyo,AO,-6.1349,12.3689,79.68,86,100,8.19,light rain,2021-01-31 01:23:18
221,Nemuro,JP,43.3236,145.575,15.8,67,20,3.44,few clouds,2021-01-31 01:13:34
222,Geraldton,AU,-28.7667,114.6,96.8,23,0,17.27,clear sky,2021-01-31 01:21:06
223,Noto,IT,36.8901,15.0693,53.6,93,20,4.61,few clouds,2021-01-31 01:23:18
224,Beni,CD,0.5,29.4667,64.94,79,100,1.63,overcast clouds,2021-01-31 01:23:18
225,Grand Gaube,MU,-20.0064,57.6608,75.99,85,3,3.0,clear sky,2021-01-31 01:13:33
226,Saldanha,ZA,-33.0117,17.9442,63.63,92,0,1.63,clear sky,2021-01-31 01:21:22
227,Iskateley,RU,67.6803,53.1512,1.04,92,99,11.1,overcast clouds,2021-01-31 01:23:19
228,Avarua,CK,-21.2078,-159.775,84.2,70,75,6.91,broken clouds,2021-01-31 01:23:19
229,Coquimbo,CL,-29.9533,-71.3436,64.4,94,90,4.61,overcast clouds,2021-01-31 01:20:36
230,Ornskoldsvik,SE,63.2909,18.7153,14.0,85,90,8.05,light snow,2021-01-31 01:22:05
231,Honolulu,US,21.3069,-157.8583,82.4,47,40,13.8,scattered clouds,2021-01-31 01:23:19
232,New Norfolk,AU,-42.7826,147.0587,75.99,39,6,3.0,clear sky,2021-01-31 01:23:19
233,Vila Velha,BR,-20.3297,-40.2925,78.8,78,75,6.91,broken clouds,2021-01-31 01:18:27
234,Paita,PE,-5.0892,-81.1144,76.26,73,15,15.57,few clouds,2021-01-31 01:23:19
235,Coolum Beach,AU,-26.5333,153.1,82.0,76,3,3.0,clear sky,2021-01-31 01:23:20
